"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj";"cluster";"gene"
"Gm47423";5,08210704028924e-12;1,67670641855446;0,142;0,043;9,50862227238117e-08;"P21";"Gm47423"
"Gm15594";6,11834418456691e-12;1,6419557454856;0,181;0,067;1,14474219693247e-07;"P21";"Gm15594"
"Kcnt1";6,32925449481179e-12;0,980719196688164;0,315;0,162;1,18420351597929e-07;"P21";"Kcnt1"
"Zfp950";7,54063323054335e-12;1,46803756180574;0,233;0,103;1,41085247743466e-07;"P21";"Zfp950"
"Chst1";8,91105635623834e-12;1,07297138102254;0,336;0,183;1,66725864425219e-07;"P21";"Chst1"
"Ppp1r12a";9,11373782160145e-12;1,14981999849668;0,306;0,158;1,70518034642163e-07;"P21";"Ppp1r12a"
"Tfdp2";9,60644238119242e-12;2,1292780283204;0,121;0,032;1,7973653695211e-07;"P21";"Tfdp2"
"Adgra1";1,02045801112038e-11;1,36299962215969;0,205;0,083;1,90927693880623e-07;"P21";"Adgra1"
"Snph";1,5823063031267e-11;1,35422693892684;0,224;0,097;2,96049509315005e-07;"P21";"Snph"
"Cacna1a";1,61438704387901e-11;0,79982716159176;0,532;0,385;3,02051815909763e-07;"P21";"Cacna1a"
"Sipa1l1";1,61907889426582e-11;0,990517763387409;0,392;0,233;3,02929661117135e-07;"P21";"Sipa1l1"
"6430573F11Rik";1,67468321503549e-11;1,47904821225495;0,123;0,035;3,1333322953314e-07;"P21";"6430573F11Rik"
"Dennd1b";1,74557560800903e-11;1,95527292516293;0,136;0,041;3,2659719625849e-07;"P21";"Dennd1b"
"2010111I01Rik";2,03153999340235e-11;1,52628683713419;0,17;0,062;3,80101132765579e-07;"P21";"2010111I01Rik"
"Faah";2,06480826148405e-11;1,05147503514296;0,312;0,164;3,86325625723665e-07;"P21";"Faah"
"Tango2";2,16989274727173e-11;1,08857897293075;0,321;0,173;4,0598693301454e-07;"P21";"Tango2"
"Ptprn";2,1749590851998e-11;0,766333826368026;0,534;0,39;4,06934844840882e-07;"P21";"Ptprn"
"Pi4ka";2,341251512701e-11;1,28077329266421;0,289;0,148;4,38048158026356e-07;"P21";"Pi4ka"
"Spred1";2,40523834074959e-11;1,68370662262153;0,168;0,061;4,50020093554248e-07;"P21";"Spred1"
"Kdm7a";3,00969909950583e-11;1,64187593887668;0,134;0,041;5,63114701517541e-07;"P21";"Kdm7a"
"Osbpl6";3,83857933211997e-11;1,08788334409646;0,319;0,172;7,18198193039647e-07;"P21";"Osbpl6"
"Cckbr";3,88613572237044e-11;2,827255306668;0,071;0,011;7,2709599365551e-07;"P21";"Cckbr"
"Susd4";4,15797676074251e-11;1,54973681148275;0,177;0,067;7,77957451934924e-07;"P21";"Susd4"
"Bicral";4,61649646191011e-11;1,50267888082719;0,188;0,075;8,63746488023381e-07;"P21";"Bicral"
"Fam126b";4,81300956180255e-11;1,19376341644921;0,237;0,109;9,00514089013256e-07;"P21";"Fam126b"
"Ccdc28a";5,57871057314333e-11;2,22605780145009;0,099;0,023;1,04377674823512e-06;"P21";"Ccdc28a"
"4833422C13Rik";5,69383133800306e-11;3,02733431832324;0,056;0,006;1,06531584334037e-06;"P21";"4833422C13Rik"
"Mafg";5,70106695474238e-11;0,88485557450812;0,399;0,24;1,0666696272323e-06;"P21";"Mafg"
"Fxyd4";6,86139278951538e-11;3,32934884254989;0,065;0,009;1,28376659091833e-06;"P21";"Fxyd4"
"BC005561";6,94621819594635e-11;0,79341236243721;0,489;0,337;1,29963742446156e-06;"P21";"BC005561"
"Tmem62";8,16052149099962e-11;1,86625568490677;0,121;0,035;1,52683357096603e-06;"P21";"Tmem62"
